index,推荐博主名称,博主涉及领域,平台及链接,推荐人ID,推荐理由,推荐时间
364,英语兔,英语,[B站](https://www.bilibili.com/video/BV1r54y1m7gd),不染,宝藏, 
365,英语兔,英语,[B站](https://space.bilibili.com/483162496),天気,提高口语水平的基础课——音标课讲的很好，能帮助找出平时发音不标准的地方并改正,2021-01-18 00:00:00
366,英语兔,英语,B站,没钱买茶叶蛋和榨菜的小汤,英语的基础音标课,2021年二月二日
367,麻婆地,英语,B站,刘乐嘉Leo,B站认证，英式发音非常棒,2021-12-26 14:25:38
368,coachshane,英语学习,[B站](https://space.bilibili.com/473051410), ,"学习英语daily diction 必看,讲课生动有趣,口技大师,表演家,三观很正",2022-10-21 00:00:00
369,小榮君,英语学习,[B站](https://space.bilibili.com/385183602),Sam老师,通过美剧学英语，事半功倍。up主视频制作精良，便于观看和学习。,2021-12-16 07:32:11
370,英语的平行世界,英语学习,B站,游余,英语的知识覆盖面全，有基础讲解，也有高级的语法, 
371,英语的平行世界,英语语法教学,[B站](https://space.bilibili.com/388576777),英语的平行世界,很棒的英语教学我最喜欢英语的基础语法教学！！！,2021-12-24 07:05:41
372,sky92昙,西班牙语,[B站](https://space.bilibili.com/5548363/channel/detail),sky92,新现西的教材讲解，还在持续更新,2021-02-11 00:00:00
373,冰糖雪梨Cherie,西班牙语,[B站](https://space.bilibili.com/66782324),sky92,上海某IB国际学校商管和西语老师，有篇A2难度语法讲的很好,2021-02-11 00:00:00
374,碳十二,要知识,B站,w万一y, ,2021-12-26 08:22:10
375,《用AE做个酷酷的动画，duik16高级动画案例》,视频设计师MG先生,B站,潇主播,AE里的duik插件L2D动画制作非常浅显易懂！MG动画商业案例也不错,2022-02-13 00:15:41
376,BkbK-,计算机,[B站](https://bokai.blog.csdn.net/),鬼谷良师, ,2021-02-09 00:00:00
377,CodeSheep,计算机,[B站](https://space.bilibili.com/384068749),kierin, ,2021-12-27 12:28:31
378,小黑课堂计算机二级,计算机二级MS Office,[B站](https://www.bilibili.com/video/BV1YV411a7o7),顾我心安,要考计算机的同学们可以去听一下, 
379,古城算法,计算机算法,B站,Wu F.E.3的,数据结构和算法，讲得很好,2021-08-20 00:00:00
380,SchelleyYuki,计算机编程,[B站](https://space.bilibili.com/2630977),Tristesse_STK,Schelley姐会分享对于计算机编程方面的知识与心得，给我的感觉非常专业，语言与动作的表达让人很舒服，而且能感觉到都是自己消化出来的，并非网上东抄西抄的。个人认为比较适合想要转专业到计算机领域的人。,2021-02-08 00:00:00
381,IDJ小九九,设计,[B站](https://space.bilibili.com/453406733/video),小皮球菌, ,2021-02-07 00:00:00
382,KurTips,设计,[B站](https://space.bilibili.com/225179867/video),小皮球菌, ,2021-02-07 00:00:00
383,YouTube设计精选,设计,[B站](https://space.bilibili.com/281708245),小皮球菌, ,2021-02-07 00:00:00
384,oooooohmygosh,设计,[B站](https://space.bilibili.com/38053181),多折脑褶,通过自己的理解讲述设计，清晰明了,2021-12-20 02:17:09
385,oooooohmygosh,设计,[B站](https://space.bilibili.com/38053181),小皮球菌, ,2021-02-07 00:00:00
386,王M争,设计,[B站](https://space.bilibili.com/20364476),小皮球菌, ,2021-02-07 00:00:00
387,设计与思考Design &Thinking,设计,B站,小皮球菌,2018.4.12 《设计与思考》是一部在探讨「设计思考」(Design Thinking)的纪录片。它的制作团队，是由Muris缪思以及台湾创意设计中心旧金山分部所组成。他们在2011年认识并一起合作，以创新拍片的方式完成电影，并在全球巡回播放。2013年，该团队又合力制作了第二部国际纪录片-Maker《自造世代》，是一部在探讨自造者运动的纪录片，也再度成功于Kickstarter募款拍片,2021-02-07 00:00:00
388,设计师的睡前毒物,设计,[B站](https://space.bilibili.com/606305397),小皮球菌, ,2021-02-07 00:00:00
389,工业设计,设计拆想,[B站](https://space.bilibili.com/526503131),紫小圣,产品拆解过程中，理解设计的想法。【up的自我介绍】,2022-04-12 10:56:28
390,大连老师王博文,评论年轻人常遇到的社会现象,B站,四叶草, ,2021-12-18 19:35:00
391,戴建业老师,诗词,[B站](https://space.bilibili.com/532741557),_碳十四_,打开新世界大门,2021-01-14 00:00:00
392,高盛元,诗词,B站,341028075,讲的超级好，耳熟能详的唐诗其实别有洞天，不愧是经典诗词,2021-12-16 17:39:02
393,AndrewCap,语言,[B站](https://space.bilibili.com/481936705),全网最黑,安安老师的日常口语视频非常的有意思,2021-12-23 14:17:37
394,tonypt,语言,[B站](https://space.bilibili.com/24486177),远志学,印欧语言学，吐火罗语，吠陀梵语，荷马史诗,2021-01-19 00:00:00
395,这是morty,财经知识,[B站](https://space.bilibili.com/393260578),不知道几碗粥,讲解了许多财经类的知识和一些自身人生的感悟,2021-01-23 00:00:00
396,统一的奸商之路,赚钱,[B站](https://space.bilibili.com/8420618),乾先生,你在学校学不到的赚钱技术，他真的能教你,2021-01-21 00:00:00
397,GenJi是真想教会你,软件,[B站](https://space.bilibili.com/49746395),榫卯先生, ,2021-12-17 14:43:53
398,我是江无情,辟谣up,[B站](https://space.bilibili.com/486633990), ,辟谣UP主，教科文相关谣言看看他这里有没有,2021年1月18日14:20:21
399,一婶是Ethan,达芬奇调色剪辑教程,B站,唐德勒,真正用心讲软件剪辑调色思路而不是讲如何花里胡哨炫技，每期必看up主, 
400,白花恋诗彩,通识科普,B站,小斯,十分钟速成课系列相当不错,2021-06-12 00:00:00
401,碳十二,都可以,B站,Y, ,2021-12-19 15:55:40
402,北京青年x凉子访谈录,采访类,[B站](https://space.bilibili.com/496688267),许zy,许多人的访谈，或顺利或坎坷，每次难过的时候看一看都会重新得到力量,2021-01-17 00:00:00
403,懋修,金融,B站,641575787, ,2021-12-18 10:48:30
404,柳行长,金融,[B站](https://space.bilibili.com/23326926),CNtei,抬杠区UP主，气人up主,2021-12-15 21:49:13
405,致W,韩语教学,[B站](https://www.bilibili.com/video/BV1nJ41127Bz),枣早早,有500+节课，时长几分钟到四十几不等，零基础，如果学完了不知道有多nb, 
406,AnProphet,音乐,[B站](https://space.bilibili.com/291019266/video),liang_nice,编管弦乐教学,2021-12-18 22:56:32
407,GC伊格尼斯,音乐,[B站](https://space.bilibili.com/68048227),ly6170,良心up主，就是会拖更，开车，车速较快,2021-12-18 22:55:18
408,作曲奥校-陈文戈,音乐,[B站](https://space.bilibili.com/10348238),西瓜皮与勇士,”作曲理论日新月异，奥校助你一臂之力~“,2021-12-31 00:58:21
409,周末音乐,音乐,[B站](https://space.bilibili.com/246662574),多折脑褶,音乐制作等,2021-12-20 02:59:32
410,臧无尤,音乐,[B站](https://space.bilibili.com/11252239),多折脑褶,最开始入坑是教你如何写一首花粥式民谣《头盔》有内容有反思，浅显易懂的解构,2021-12-20 03:06:15
411,蝙蝠音乐,音乐,[B站](https://space.bilibili.com/18387300),liang_nice,midi音乐制作与效果器方面的使用，还有很多编曲软件的教学，同时还有很多国外熟肉视频,2021-12-18 22:49:57
412,音樂家的無聊人生,音乐,[B站](https://space.bilibili.com/1794321502),CNtei,這個頻道跟你分享如何體驗音樂，讓你跟音樂不再有距離!,2021-12-15 20:35:50
413,刘少伟教授,食品安全,[B站](https://space.bilibili.com/515059146),CNtei,美国宾夕法尼亚州立大学食品安全博士，美国堪萨斯州立大学博士后,2021-12-15 20:34:48
414,学过石油的语文老师,高中,B站,逆时空军,在这里你可以学到最快乐的语文课,2021-12-18 00:58:52
415,一数,高中数学（从零开始基础课程）,[B站](https://www.bilibili.com/video/BV147411K7xu),悟昼,极其适合数学基础需要巩固的同学。虽然很难听，但是把人当傻子的课有时才符合需求。,2021-12-18 10:20:40
416,HangFuRen,高中物理,[B站](https://space.bilibili.com/23630128),小鳥遊ＬＦ,主要为高中物理 讲的很细 可以当作课后的温习,2021-02-08 00:00:00
417,郭爷物理,高中物理竞赛/大学物理,[B站](https://space.bilibili.com/149335520),metaphysica,物理讲得十分生动清晰的一位老师，无论是学高考物理还是物理竞赛、甚至大学物理，都可以听他的课。,2021-12-19 00:34:34
418,宋浩老师官方,高数,[B站](https://space.bilibili.com/66607740),每天都要努力鸭,数学课很有趣，比较容易接受,2021-01-16 00:00:00
419,树林同学-,高考 大学成长 心理学,[B站](https://space.bilibili.com/373103803),亦辰lemon,强烈推荐！关注树林学长两年多了，最开始是从知乎过来的。树林学长是一个不可多得的宝藏UP主，尤其针对高三党和大学生最系统的学习方法论和心理成长认知都在这里喔。欢迎大家成为“地瓜”们的一员，在树成林与万木行里面，有许多优秀的uu与你一起共同成长。,2021-12-20 00:48:36
420,树林同学-,高考 大学生成长 心理学,[B站](https://space.bilibili.com/373103803),亦辰lemon,推荐高考生看看高考百天冲刺450到684的那个视频，大学生可以看看其它心理学的视频，真的会有很大收获的。,2021-12-21 21:33:21
421,取景框看世界,高考志愿、大学成长,B站,（─__─）, , 
422,Free高考英语,高考英语,[B站](https://space.bilibili.com/2742391),我以诗心化我心,高中英语跟他就完了，新东方名师，18年高考英语教龄。课程适合所有学生。关键是老师还非常关心同学。,2021-12-18 21:03:29
423,国家玮-开明致学,高考语文,B站,放羊,北大中文系的博士——国家玮，十分生动形象，脱口2倍速，问题很通俗也很深刻，直达病灶！,2021-12-31 18:06:49
424,智能路障,鲁迅,B站,inm小顾,视角独特，引人深思,2021-01-15 00:00:00
425,智能路障,鲁迅,[B站](https://space.bilibili.com/79577853),我是初墨我姓熊,鲁迅生平，以及鲁迅著名作品栏目,2021-02-07 00:00:00
